date,title,skills
2020-10-23,Системный аналитик (удаленка),"Аналитика,Системный анализ,Анализ требований"
2020-10-23,Big Data Engineer,"Разработка ПО,Средний (Middle),Spark,Nosql,Hadoop,Kafka,Oracle"
2020-10-23,Enterprise Архитектор,"Менеджмент,Ведущий (Lead),Архитектура системы,Большие данные,Алгоритмы и структуры данных,Разработка программного обеспечения"
2020-10-23,Delivery Lead,"Менеджмент,Ведущий (Lead),Управление проектами,Управление разработкой,Управление продуктами,Ведение переговоров,Развитие бизнеса,Информационные технологии"
2020-10-22,PHP-разработчик,"Бэкенд,Старший (Senior),PHP,Laravel,Symfony"
2020-10-22,Инженер по модульному и регрессионному автотестированию,"Тестирование,Средний (Middle),Java,XML,SQL,Git,Linux,Docker"
2020-10-22, Главный инженер-разработчик на Java,"Бэкенд,Старший (Senior),ООП,Java,Git,SQL"
2020-10-22, QA мобильных приложений,"Тестирование,Средний (Middle),Jira"
2020-10-22,DevOps Engineer (middle/senior),"Администрирование,Старший (Senior),Jenkins,Docker,Linux,Ansible,Devops"
2020-10-22,Тестировщик ПО (QA Automation Engineer),"Тестирование,Тестирование ПО,Ручное тестирование,Функциональное тестирование,Регрессионное тестирование,Баг-трекинг,Автоматизация тестирования"
2020-10-22,Системный аналитик,"Аналитика,Системная аналитика,Анализ требований,Системный анализ"
2020-10-22,Системный аналитик,"Аналитика,Средний (Middle),SQL,Java,XML"
2020-10-22,DevOps инженер,"Поддержка,Средний (Middle),Jenkins"
2020-10-22,QA Automation engineer/инженер по автоматизации тестирования,"Тестирование,Средний (Middle),Java,ООП"
2020-10-22,Senior Java Programmer,"Бэкенд,Ведущий (Lead),Java,JavaScript,Java spring framework,Git"
2020-10-26,Сервисный инженер ,"Поддержка,Средний (Middle),NetBackup"
2020-10-23,Инженер по внедрению,"Администрирование,Средний (Middle),SQL,Docker,Linux,MySQL,PostgreSQL,Java,Python,MongoDB,Rabbitmq,Bash"
2020-10-23,Младший инженер-разработчик,"Приложения,Стажёр (Intern),SQL,ООП"
2020-10-23,Архитектор IdM,"Приложения,Ведущий (Lead),Архитектура системы,Разработка решений по интеграции,C#,Visual studio,SQL,Mssql"
2020-10-23,Менеджер IT-проектов,"Менеджмент,Средний (Middle),Управление проектами,Ведение переговоров,Построение команды,Информационные технологии"
2020-10-23,Архитектор antifraud-решений,"Приложения,Ведущий (Lead),Java,ООП,SQL,Linux,Высоконагруженные системы,Проектирование архитектуры приложений,Rabbitmq,Базы данных,Docker"
2020-10-23,Инженер-разработчик IDM,"Администрирование,Средний (Middle),Active directory,Iis,.NET,Mssql,Linux,Высоконагруженные системы,SQL,Docker,Python,Powershell"
2020-10-23,Аналитик,"Аналитика,Средний (Middle),Python,SQL,Высоконагруженные системы,Машинное обучение,Бизнес-анализ,Бизнес-анализ,Проектирование информационных систем,Dwh"
2020-10-23,Аналитик,"Аналитика,Младший (Junior),SQL,Системная интеграция,Разработка ТЗ,Оптимизация бизнес-процессов,BPMN,Анализ требований"
2020-10-23,Архитектор проектов Big Data,"Разработка ПО,Ведущий (Lead),Scala,Spark,Hadoop"
