date,title,skills
2020-07-10,DevOps-инженер,"Администрирование,Средний (Middle),Ansible,Oracle,Jenkins,Docker"
2020-07-08,ABAP-разработчик,"Бэкенд,Abap,SAP HCM,Английский язык,ООП,ReactJS,Vue.js"
2020-07-08,Senior Фронтенд-разработчик,"Фронтенд,Старший (Senior),JavaScript,ReactJS,Sass,Less,Typescript,Node.js"
2020-07-07,Senior / Regular Java developer,"Бэкенд,Средний (Middle),ООП,Java"
2020-07-06,Oracle ETL Developer,"Бэкенд,Средний (Middle),SQL,Oracle,Pl/sql,Базы данных"
2020-07-06,Разработчик ЦФТ (IBSO),"Разработка ПО,Младший (Junior),SQL,Oracle,Pl/sql,Oracle plsql,Разработка программного обеспечения"
2020-07-03,FrontEnd Разработчик (Typescript/ React/ Redux),"Фронтенд,Старший (Senior),JavaScript,Redux,ReactJS,Typescript,CSS,Agile"
2020-06-30,Senior Java Developer,"Бэкенд,Старший (Senior),Java,Базы данных,Java spring framework,SQL"
2020-06-30,DevOps инженер,"Администрирование,Средний (Middle),PostgreSQL,Hibernate,Docker,Linux,Bash,Unix,Openstack"
2020-06-29,Groovy/Ansible Developer,"Администрирование,Средний (Middle),Ansible,Linux,Администрирование Linux,Bash,CI/CD methodologies,XML,Groovy,Java,Docker,Devops"
2020-06-26,Pega developer ,"Бэкенд,Средний (Middle),Java,Pl/sql,SQL,Tcp,Grafana,ELK Stack,Docker"
2020-06-24,QA Engineer ,"Тестирование,Средний (Middle),Java,Oracle,PostgreSQL,Автоматизация тестирования,Тестирование ПО,Ручное тестирование,Функциональное тестирование,Selenium,Cucumber"
2020-06-22,Разработчик Node.js,"Бэкенд,Средний (Middle),Node.js,Python,Docker,PostgreSQL,Nosql"
2020-06-10,Trading Platform QA Automation Lead,"Тестирование,Ведущий (Lead),Java,ООП"
2020-06-06,Frontend Developer,"Разработка ПО,ReactJS,JavaScript"
2020-06-06,Главный инженер по разработке инструментов нагрузочного тестирования,"Тестирование,Нагрузочное тестирование"
2020-06-03,Scala-разработчик ,"Бэкенд,Старший (Senior),Scala"
2020-06-03,Java developer,"Разработка ПО,Java,Java spring framework"
2020-06-02,Соискатели Тестировщик ПО/ Engineer QA,"Тестирование,Тестирование ПО,Ручное тестирование,Функциональное тестирование,Разработка тест-кейсов,Баг-трекинг,Автоматизация тестирования"
2020-06-02,Системный аналитик,"Аналитика,Системный анализ,Анализ требований"
2020-09-03,Ведущий Системный Аналитик ,"Аналитика,Средний (Middle),SQL,XML,Uml,BPMN,Анализ требований,Системный анализ"
2020-09-03,Тестировщик ПО / QA Automation Engineer (3 соискателя),"Тестирование,Тестирование ПО,Ручное тестирование,Разработка тест-кейсов"
2020-09-03,Системный аналитик,"Аналитика,Системная аналитика,Анализ требований,Разработка ТЗ"
2020-09-03,Python Middle/Senior Software Developer,"Разработка ПО,Средний (Middle),Python,Django,Flask,Базы данных,Docker"
2020-09-03,DevOps инженер & Linux Administrator,"Администрирование,Средний (Middle),Devops,Администрирование Linux,CI/CD methodologies,Docker,Kubernetes,Jenkins,Bash,Ansible,Python,Groovy"
2020-09-02,"Разработчик Oracle SQL, PL/SQL, Oracle APEX","Фронтенд,Средний (Middle),SQL,Pl/sql,Oracle plsql,Проектирование баз данных,HTML,CSS,JavaScript"
2020-09-01,Руководитель ИТ-инфраструктуры (беспилотный автомобиль),"Менеджмент,Ведущий (Lead),Robot Framework,Разработка программного обеспечения,Облачные вычисления,Машинное обучение,Нейронные сети,Системный анализ,Проектирование информационных систем,Системы контроля версий"
2020-09-01,Руководитель контроля качества (QA engineer беспилотного автомобиля) ,"Тестирование,Ведущий (Lead),Тестирование ПО,Функциональное тестирование,Тестирование производительности,Linux,Нагрузочное тестирование,SW/HW,Автоматизация тестирования,Тестирование дизайна,Разработка тест-кейсов"
2020-08-31,Senior Data Scientist по обработке текстов и NLP/ Руководитель направления,"Другое,Старший (Senior),Python,Django,Keras,TensorFlow"
2020-08-28,Ansible Developer & Windows Administrator,"Бэкенд,Средний (Middle),Ansible,Jenkins,Kubernetes,Python,CI/CD methodologies,Администрирование Windows,Администрирование Linux"
